Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
GKP,1,Raya,6.0,6.0,ARS,93,4.54,92,3.93,92,3.90,89,4.11,88,3.67,86,3.97,85,3.78,84,3.91,83,3.18,83,4.06,30.3%
GKP,2,Arrizabalaga,5.0,5.0,ARS,2,0.08,3,0.11,3,0.14,6,0.26,6,0.28,9,0.43,10,0.45,11,0.52,12,0.45,12,0.59,0.2%
GKP,3,Meslier,5.0,5.0,ARS,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.1%
DEF,4,Gabriel,8.0,8.0,ARS,92,6.26,88,4.37,85,4.25,85,5.04,81,4.15,84,4.96,81,4.48,81,4.96,79,3.58,81,5.50,25.4%
DEF,5,J.Timber,6.5,6.5,ARS,6,0.37,20,0.89,36,1.68,64,3.41,81,3.68,80,4.50,77,3.84,79,4.57,78,3.03,76,5.04,0.6%
DEF,6,Saliba,6.0,6.0,ARS,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,4,0.18,12,0.64,18,0.71,25,1.51,0.5%
MID,7,Lewis-Skelly,5.5,5.5,ARS,61,2.25,43,1.39,37,1.27,36,1.26,38,1.25,37,1.32,39,1.32,42,1.47,44,1.36,40,1.56,0.3%
DEF,8,Calafiori,5.5,5.5,ARS,72,4.65,69,3.12,66,3.17,63,3.40,61,2.82,57,3.24,61,3.04,56,3.20,55,2.20,58,3.76,14.1%
DEF,9,Hincapie,5.5,5.5,ARS,38,2.23,44,2.03,47,2.15,48,2.55,48,2.12,49,2.71,47,2.35,49,2.76,48,1.94,45,2.84,4.9%
DEF,10,White,5.5,5.5,ARS,84,5.09,72,3.09,58,2.60,44,2.25,36,1.61,38,2.04,40,1.92,35,1.87,34,1.35,34,2.04,0.0%
DEF,11,Mosquera,5.5,5.5,ARS,81,4.76,74,3.18,69,2.97,63,3.18,57,2.43,54,2.80,53,2.51,48,2.54,47,1.78,43,2.52,17.3%
MID,12,Saka,9.5,9.5,ARS,45,3.61,70,4.22,73,4.78,72,4.55,69,4.18,69,4.74,67,4.09,66,4.51,62,3.50,64,5.25,10.7%
MID,13,Rice,7.5,7.5,ARS,50,2.86,78,3.58,84,3.97,84,4.10,82,3.81,80,4.10,79,3.74,78,3.99,78,3.40,77,4.42,21.9%
MID,14,Eze,6.5,6.5,ARS,19,1.44,44,2.44,41,2.45,42,2.54,44,2.47,40,2.54,42,2.45,41,2.65,40,2.11,40,2.93,3.3%
MID,15,Ødegaard,6.5,6.5,ARS,77,5.38,59,3.07,55,3.11,56,3.15,52,2.69,54,3.16,51,2.70,51,2.99,50,2.45,50,3.38,2.9%
MID,16,Madueke,6.5,6.5,ARS,38,2.62,25,1.37,23,1.34,25,1.43,27,1.44,28,1.71,27,1.48,27,1.62,29,1.43,29,2.03,0.4%
MID,17,Merino,6.0,6.0,ARS,26,1.60,29,1.43,39,2.02,36,1.94,36,1.75,38,2.10,37,1.89,38,2.14,36,1.70,41,2.60,1.3%
MID,18,Martinelli,6.5,6.5,ARS,20,1.34,18,0.93,22,1.29,20,1.17,21,1.12,23,1.34,21,1.14,24,1.40,23,1.17,23,1.58,0.3%
MID,19,Zubimendi,5.5,5.5,ARS,41,1.89,41,1.56,42,1.64,42,1.71,45,1.70,41,1.72,43,1.70,40,1.67,45,1.68,41,1.93,1.5%
MID,20,Dowman,5.5,5.5,ARS,18,1.23,14,0.84,13,0.81,14,0.87,16,0.88,17,0.99,19,1.05,18,1.12,18,0.97,19,1.31,0.1%
MID,21,Nørgaard,5.0,5.0,ARS,8,0.45,7,0.34,7,0.33,7,0.34,7,0.35,8,0.40,8,0.40,9,0.46,10,0.44,8,0.46,0.1%
MID,22,Nwaneri,5.5,5.5,ARS,9,0.67,7,0.46,7,0.50,9,0.56,9,0.53,10,0.64,11,0.64,14,0.83,13,0.71,12,0.85,0.0%
MID,23,Fábio Vieira,5.5,5.5,ARS,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,24,Nelson,5.5,5.5,ARS,0,0.00,1,0.09,0,0.00,0,0.00,0,0.00,1,0.09,1,0.10,1,0.12,2,0.11,1,0.12,0.0%
FWD,25,Gyökeres,7.5,7.5,ARS,31,2.40,33,1.92,33,2.14,34,2.11,37,2.19,36,2.39,36,2.12,37,2.40,36,1.98,38,2.92,13.3%
FWD,26,Havertz,7.5,7.5,ARS,65,4.48,59,3.07,56,3.15,56,2.98,53,2.75,54,3.18,53,2.78,52,3.02,50,2.42,50,3.42,4.1%
FWD,27,G.Jesus,6.0,6.0,ARS,9,0.69,9,0.58,9,0.62,9,0.62,12,0.70,11,0.72,13,0.78,13,0.78,15,0.79,14,0.95,0.3%
GKP,28,Martinez,5.0,5.0,AVL,94,3.24,94,3.17,93,3.93,93,3.82,92,3.12,92,3.49,92,3.18,92,2.92,92,3.70,91,3.01,4.4%
GKP,29,M.Bizot,4.5,4.5,AVL,0,0.00,1,0.05,2,0.09,2,0.07,2,0.07,3,0.09,3,0.10,3,0.10,3,0.13,4,0.12,0.1%
DEF,30,Digne,4.5,4.5,AVL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1.4%
DEF,31,Konsa,4.5,4.5,AVL,92,2.81,90,2.71,87,3.94,86,3.53,85,2.64,85,3.24,85,2.62,83,2.33,82,3.26,84,2.24,18.4%
DEF,32,Cash,4.5,4.5,AVL,90,2.86,86,2.58,84,4.03,79,3.46,81,2.65,78,3.23,76,2.48,75,2.17,76,3.29,76,2.06,7.9%
DEF,33,Mings,4.5,4.5,AVL,43,1.56,43,1.49,43,2.20,47,2.20,45,1.66,48,2.08,43,1.60,46,1.48,47,2.11,47,1.45,0.2%
DEF,34,Pau,4.5,4.5,AVL,53,1.77,54,1.71,56,2.63,51,2.21,55,1.82,51,2.06,53,1.76,54,1.58,51,2.11,53,1.53,0.2%
MID,35,Bogarde,5.0,5.0,AVL,10,0.46,12,0.52,14,0.60,17,0.69,18,0.67,18,0.75,21,0.79,19,0.72,22,0.86,20,0.71,0.1%
DEF,36,Maatsen,4.5,4.5,AVL,92,3.18,88,2.86,86,4.40,86,4.07,83,2.96,84,3.81,83,2.93,84,2.72,82,3.81,80,2.39,0.6%
DEF,37,Lindelöf,4.5,4.5,AVL,17,0.65,21,0.75,27,1.19,26,1.10,31,1.01,33,1.31,35,1.13,35,1.04,37,1.48,36,1.01,0.2%
DEF,38,A.García,4.0,4.0,AVL,0,0.00,0,0.00,1,0.06,1,0.05,0,0.00,2,0.08,2,0.09,2,0.08,2,0.09,2,0.07,1.5%
DEF,39,Nedeljkovic,4.0,4.0,AVL,0,0.00,0,0.00,1,0.06,1,0.07,1,0.05,2,0.09,2,0.10,3,0.10,3,0.13,3,0.12,0.4%
MID,40,Rogers,7.5,7.5,CHE,80,3.97,77,4.10,76,2.82,72,4.55,73,3.62,73,3.98,68,3.35,67,3.60,66,3.19,69,3.52,32.6%
MID,41,Buendía,6.0,6.0,AVL,59,3.19,55,2.59,56,3.60,54,3.30,53,2.86,54,3.30,52,2.88,51,2.66,49,3.06,52,2.50,0.8%
MID,42,Guessand,5.5,5.5,AVL,25,1.37,28,1.35,28,1.73,33,1.86,34,1.73,33,1.94,35,1.85,35,1.74,34,1.94,34,1.57,0.0%
MID,43,Tielemans,6.0,6.0,MUN,48,2.24,72,3.56,69,2.96,70,2.86,68,2.85,67,2.99,66,2.76,67,3.05,65,2.57,64,2.76,0.9%
MID,44,Bailey,5.5,5.5,AVL,8,0.54,8,0.49,9,0.61,11,0.73,10,0.63,12,0.78,13,0.80,13,0.76,13,0.86,12,0.64,0.1%
MID,45,McGinn,5.5,5.5,AVL,80,3.29,78,2.88,76,3.73,76,3.50,73,3.02,72,3.36,71,3.01,71,2.86,71,3.42,71,2.71,2.8%
MID,46,Barkley,5.0,5.0,AVL,27,1.34,26,1.18,29,1.69,26,1.36,29,1.38,28,1.53,29,1.44,29,1.37,30,1.59,29,1.26,0.2%
MID,47,Kamara,5.0,5.0,AVL,63,2.03,75,2.31,75,2.82,75,2.67,69,2.32,70,2.50,70,2.35,69,2.19,69,2.42,69,2.18,0.1%
MID,48,Onana,5.0,5.0,AVL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,49,Iling Jr,5.0,5.0,AVL,2,0.12,1,0.10,1,0.11,2,0.14,2,0.14,3,0.18,2,0.16,3,0.18,2,0.17,3,0.16,0.0%
MID,50,Burrowes,4.5,4.5,AVL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1.1%
MID,51,George Hemmings,4.5,4.5,AVL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.06,0,0.00,0.2%
MID,52,Alysson,5.0,5.0,AVL,7,0.40,7,0.39,7,0.47,8,0.51,9,0.51,10,0.59,10,0.55,10,0.54,11,0.64,11,0.54,0.0%
MID,53,Manzambi,6.0,6.0,AVL,61,2.80,57,2.31,58,3.10,56,2.87,57,2.60,55,2.85,56,2.58,55,2.48,55,2.82,55,2.33,2.8%
MID,54,Gomes,5.5,5.5,AVL,66,2.50,59,2.11,55,2.46,60,2.54,59,2.29,59,2.51,57,2.26,58,2.20,57,2.41,58,2.06,0.3%
FWD,55,Watkins,8.0,8.0,AVL,85,4.25,77,3.34,74,4.56,73,4.18,71,3.55,70,4.06,69,3.65,70,3.47,68,4.05,67,3.15,12.1%
FWD,56,Abraham,5.5,5.5,AVL,9,0.56,19,0.98,22,1.36,24,1.46,26,1.33,27,1.60,28,1.53,27,1.38,30,1.77,30,1.44,0.0%
GKP,57,Petrović,4.5,4.5,BOU,94,3.03,93,3.75,92,3.27,92,3.52,92,3.19,92,3.15,91,3.81,91,3.06,91,3.54,91,3.45,3.5%
GKP,58,Forster,4.0,4.0,BOU,0,0.00,2,0.08,3,0.09,3,0.10,3,0.11,3,0.09,3,0.13,3,0.11,4,0.16,4,0.14,3.1%
GKP,59,Dennis,4.0,4.0,BOU,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.2%
DEF,60,Hill,5.5,5.5,BOU,93,2.77,88,4.34,86,3.30,85,3.86,84,3.07,84,2.67,83,4.17,83,2.69,81,3.89,81,3.83,1.4%
DEF,61,Truffert,5.5,5.5,BOU,93,2.39,90,4.15,88,3.04,86,3.65,85,2.89,84,2.40,83,4.05,83,2.33,82,3.69,82,3.66,4.6%
DEF,62,Diakité,5.0,5.0,BOU,72,1.92,71,3.20,69,2.37,69,2.89,67,2.22,66,1.85,65,3.07,64,1.84,63,2.75,64,2.72,0.2%
DEF,63,Milosavljević,5.0,5.0,BOU,27,0.84,32,1.52,37,1.36,38,1.65,40,1.41,40,1.24,41,1.95,42,1.35,45,2.01,43,1.93,0.1%
DEF,64,Smith,4.5,4.5,BOU,83,1.62,81,3.19,79,2.19,77,2.76,75,2.07,73,1.74,72,2.96,70,1.65,70,2.70,71,2.63,0.1%
DEF,65,J.Araujo,4.5,4.5,BOU,4,0.16,6,0.26,6,0.22,6,0.29,8,0.31,7,0.25,8,0.41,8,0.28,8,0.37,10,0.43,0.1%
DEF,66,Soler,4.0,4.0,BOU,2,0.05,5,0.22,6,0.21,7,0.26,8,0.26,8,0.24,11,0.47,10,0.27,10,0.41,11,0.44,0.6%
MID,67,Rayan,6.5,6.5,BOU,79,3.15,76,3.81,73,3.32,69,3.43,69,3.17,70,2.93,67,3.48,67,2.71,65,3.23,63,3.27,3.4%
MID,68,Tavernier,6.0,6.0,BOU,87,3.86,85,4.96,80,4.23,79,4.71,76,4.01,75,3.65,74,4.58,73,3.42,72,4.16,70,4.16,1.5%
MID,69,Scott,6.0,6.0,BOU,90,3.56,86,4.02,83,3.54,81,3.76,80,3.47,78,3.09,79,3.75,78,3.06,74,3.45,74,3.48,1.6%
MID,70,Kluivert,6.0,6.0,BOU,58,2.66,52,3.12,53,2.83,49,2.96,49,2.67,49,2.40,49,3.04,44,2.12,39,2.37,33,2.00,0.9%
MID,71,Cook,5.0,5.0,BOU,17,0.67,19,0.81,21,0.88,24,1.01,26,1.03,28,1.06,27,1.18,28,1.04,28,1.22,28,1.20,0.1%
MID,72,Gannon-Doak,5.0,5.0,BOU,9,0.52,9,0.57,10,0.59,12,0.69,14,0.74,14,0.71,14,0.83,14,0.71,12,0.73,11,0.66,0.2%
MID,73,Adams,5.0,5.0,BOU,80,2.70,73,2.77,70,2.52,69,2.68,65,2.36,63,2.08,63,2.40,63,2.09,62,2.36,61,2.35,0.7%
MID,74,Brooks,5.0,5.0,BOU,22,1.17,25,1.46,26,1.43,29,1.69,29,1.57,31,1.61,32,1.96,30,1.45,29,1.71,25,1.49,0.2%
MID,75,Christie,5.0,5.0,BOU,0,0.00,18,0.92,21,0.99,23,1.21,25,1.19,25,1.10,26,1.32,27,1.17,25,1.26,25,1.27,0.1%
